,CYS_P_7.5,ASP_P_7.5,SER_P_7.5,GLN_P_7.5,LYS_P_7.5,ILE_P_7.5,PRO_P_7.5,THR_P_7.5,PHE_P_7.5,ASN_P_7.5,GLY_P_7.5,HIS_P_7.5,LEU_P_7.5,ARG_P_7.5,TRP_P_7.5,ALA_P_7.5,VAL_P_7.5,GLU_P_7.5,TYR_P_7.5,MET_P_7.5,hbond_don_sc_atom_5_P,hbond_acc_sc_atom_5_P,hbond_don_bb_atom_5_P,hbond_acc_bb_atom_5_P,hbond_don_sc_atom_5_7.5_P,hbond_acc_sc_atom_5_7.5_P,hbond_don_bb_atom_5_7.5_P,hbond_acc_bb_atom_5_7.5_P,saas_P_7.5,index,identifier,ratio_mean,y_actual,y_predicted,correct
0,0.0,5.0,5.0,10.0,0.0,0.0,5.0,0.0,10.0,0.0,5.0,5.0,20.0,5.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,1.3333333333333337,2.0,2.666666666666667,2.666666666666667,2.0,6.666666666666667,2.666666666666667,0.0,0,O00255_C414_4OG4_C409,10.0176339149475,0,1,0
1,0.0,4.761904761904762,4.761904761904762,9.523809523809524,0.0,0.0,4.761904761904762,0.0,9.523809523809524,4.761904761904762,0.0,4.761904761904762,19.047619047619047,4.761904761904762,0.0,14.285714285714285,9.523809523809524,9.523809523809524,0.0,0.0,0.0,0.6451612903225806,1.2903225806451613,1.2903225806451613,1.935483870967742,2.5806451612903225,7.096774193548387,4.516129032258064,0.0,1,O00255_C414_6BXH_C409,10.0176339149475,0,1,0
2,0.0,4.761904761904762,4.761904761904762,9.523809523809524,0.0,0.0,4.761904761904762,0.0,9.523809523809524,4.761904761904762,4.761904761904762,4.761904761904762,19.047619047619047,4.761904761904762,0.0,14.285714285714285,4.761904761904762,9.523809523809524,0.0,0.0,1.2903225806451613,1.2903225806451613,1.2903225806451613,2.5806451612903225,1.935483870967742,3.225806451612903,7.741935483870968,2.5806451612903225,0.0,2,O00255_C414_6O5I_C409,10.0176339149475,0,1,0
3,0.0,5.0,5.0,10.0,0.0,0.0,5.0,0.0,10.0,5.0,0.0,5.0,20.0,5.0,0.0,15.0,5.0,10.0,0.0,0.0,1.25,0.625,1.25,2.5,1.875,1.875,7.5,2.5,0.0,3,O00255_C414_6S2K_C411,10.0176339149475,0,1,0
4,0.0,5.0,5.0,10.0,0.0,0.0,5.0,0.0,10.0,5.0,0.0,5.0,20.0,5.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.6369426751592357,1.2738853503184715,1.910828025477707,2.547770700636943,3.1847133757961785,7.006369426751593,3.821656050955414,0.0,4,O00255_C414_6WNH_C409,10.0176339149475,0,1,0
5,0.0,5.0,5.0,10.0,0.0,0.0,5.0,0.0,10.0,5.0,0.0,5.0,20.0,5.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.6369426751592357,1.2738853503184715,1.2738853503184715,3.1847133757961785,3.1847133757961785,7.006369426751593,4.45859872611465,0.0,5,O00255_C414_7OA9_C409,10.0176339149475,0,1,0
6,11.11111111111111,0.0,0.0,5.555555555555555,5.555555555555555,5.555555555555555,0.0,0.0,11.11111111111111,0.0,5.555555555555555,0.0,11.11111111111111,11.11111111111111,0.0,11.11111111111111,0.0,11.11111111111111,5.555555555555555,5.555555555555555,0.6802721088435374,1.3605442176870748,1.3605442176870748,0.6802721088435374,3.401360544217688,1.3605442176870748,6.802721088435375,4.081632653061225,10.37037037037037,6,O00329_C144_5DXU_C144,19.09,0,1,0
7,10.526315789473683,0.0,0.0,5.263157894736842,5.263157894736842,10.526315789473683,0.0,0.0,10.526315789473683,0.0,5.263157894736842,0.0,10.526315789473683,10.526315789473683,0.0,10.526315789473683,0.0,10.526315789473683,5.263157894736842,5.263157894736842,0.6756756756756757,1.351351351351351,1.351351351351351,0.6756756756756757,3.3783783783783785,2.027027027027027,7.432432432432432,4.72972972972973,7.4074074074074066,7,O00329_C144_5M6U_C144,19.09,0,1,0
8,10.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,10.0,5.0,5.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,5.0,5.0,0.6622516556291391,1.3245033112582782,1.3245033112582782,0.0,3.9735099337748334,1.9867549668874167,6.622516556291391,5.298013245033113,8.148148148148149,8,O00329_C144_5VLR_C144,19.09,0,1,0
9,5.0,0.0,0.0,5.0,10.0,10.0,0.0,0.0,10.0,5.0,5.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,5.0,5.0,0.6622516556291391,1.3245033112582782,1.3245033112582782,0.6622516556291391,3.9735099337748334,1.9867549668874167,6.622516556291391,4.635761589403973,9.62962962962963,9,O00329_C144_6G6W_C144,19.09,0,1,0
